Project Code,Database,Dealer,Cloud Partner,Training Provided,tenure,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn
0215-BQKGS,Common,0,No,No,30,Yes,Cabinetry,North America,Yes,Yes,Yes,No,No,No,T&M,Yes,Credit card (automatic),84.3,2438.6,No
9244-ZVAPM,Common,0,No,No,1,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,45.6,45.6,No
0719-SYFRB,DFM,0,No,No,12,Yes,Appliance,ROAP,Yes,No,Yes,Yes,No,No,T&M,Yes,Mailed check,61.65,713.75,Yes
8208-EUMTE,Common,0,No,No,16,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,No,Fixed Price,No,Mailed check,54.85,916.15,No
5172-MIGPM,Common,0,No,No,4,Yes,Appliance,ROAP,No,No,No,Yes,No,Yes,T&M,No,Mailed check,65.55,237.2,No
1710-RCXUS,Common,0,Yes,No,51,Yes,Appliance,North America,No,Yes,No,No,No,Yes,AMC,Yes,Credit card (automatic),90.35,4614.55,No
0374-FIUCA,Common,0,Yes,No,65,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),20.4,1414.45,No
5839-SUYVZ,Common,0,No,No,16,Yes,Cabinetry,North America,No,No,No,Yes,No,No,T&M,Yes,Credit card (automatic),74.55,1170.5,No
5173-ZXXXL,Common,0,No,No,2,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,19.95,47.7,No
1096-ADRUX,DFM,0,Yes,Yes,66,Yes,Appliance,North America,No,No,No,No,No,No,AMC,Yes,Bank transfer (automatic),74.25,4859.25,No
2001-MCUUW,Common,0,No,No,46,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,108.65,4903.2,No
2731-GJRDG,DFM,0,No,No,32,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),109.55,3608,No
4723-BEGSG,Common,0,Yes,No,72,Yes,Appliance,ROAP,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),86.65,6094.25,No
6516-NKQBO,Common,0,Yes,Yes,38,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),81,3084.9,No
8672-OAUPW,Common,0,No,Yes,51,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,AMC,No,Credit card (automatic),47.85,2356.75,No
8207-DMRVL,Common,0,Yes,Yes,72,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),114.55,8306.05,No
3419-SNJJD,DFM,1,Yes,No,65,Yes,Appliance,North America,Yes,No,Yes,No,Yes,Yes,T&M,No,Bank transfer (automatic),105.25,6786.4,Yes
6543-CPZMK,Common,0,Yes,Yes,9,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,Yes,Electronic check,29.95,248.95,Yes
4765-OXPPD,DFM,0,Yes,Yes,9,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,No,No,T&M,No,Mailed check,65,663.05,Yes
2804-ETQDK,Common,0,No,Yes,66,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.55,1357.1,No
6689-VRRTK,DFM,1,No,No,44,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,AMC,Yes,Credit card (automatic),109.8,4860.35,No
7138-GIRSH,Common,0,No,No,50,Yes,Appliance,ROAP,No,No,Yes,Yes,No,Yes,Fixed Price,No,Bank transfer (automatic),69.5,3418.2,No
9396-ZSFLL,DFM,0,No,No,15,Yes,Appliance,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,48.85,631.4,No
6464-KEXXH,Common,0,No,No,8,No,Countertop,ROAP,No,No,No,No,No,No,T&M,Yes,Credit card (automatic),25.25,186.3,No
7134-MJPDY,DFM,1,No,No,66,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Credit card (automatic),102.85,6976.75,No
5240-CAOYT,DFM,0,No,No,57,Yes,Appliance,North America,Yes,Yes,No,Yes,No,No,T&M,Yes,Bank transfer (automatic),87.55,4884.85,No
4059-IIEBK,DFM,0,No,No,7,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),78.55,522.95,No
4881-JVQOD,Common,1,Yes,Yes,10,No,Countertop,ROAP,No,No,No,No,No,Yes,T&M,Yes,Bank transfer (automatic),34.55,362.6,No
0516-UXRMT,DFM,0,No,No,62,Yes,Appliance,North America,Yes,Yes,Yes,No,No,No,AMC,Yes,Electronic check,92.05,5755.8,No
4851-BQDNX,Common,0,Yes,Yes,40,Yes,Cabinetry,North America,No,No,Yes,No,Yes,No,AMC,Yes,Electronic check,85.05,3355.65,No
5148-HKFIR,DFM,0,No,No,20,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.7,406.95,No
1009-IRMNA,DFM,0,No,No,7,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),20,137.6,Yes
3003-CMDUU,DFM,0,Yes,No,25,Yes,Cabinetry,North America,No,No,No,Yes,Yes,Yes,T&M,Yes,Electronic check,95.15,2395.7,No
5016-IBERQ,Common,0,Yes,No,23,Yes,Appliance,North America,No,Yes,Yes,No,No,No,T&M,No,Electronic check,84.25,1968.1,No
6797-UCJHZ,DFM,1,Yes,No,66,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,AMC,No,Credit card (automatic),104.6,6819.45,No
2469-DTSGX,DFM,1,No,No,72,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,111.65,7943.45,No
4554-YGZIH,Common,1,Yes,No,49,Yes,Appliance,North America,No,Yes,No,No,No,Yes,T&M,No,Credit card (automatic),90.05,4547.25,Yes
5099-BAILX,Common,1,Yes,Yes,43,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),110.75,4687.9,Yes
9931-KGHOA,DFM,0,Yes,No,46,Yes,Appliance,ROAP,Yes,No,No,No,No,No,T&M,No,Bank transfer (automatic),55,2473.95,No
1775-KWJKQ,Common,0,Yes,Yes,72,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),89.85,6562.9,No
7665-VIGUD,Common,0,No,No,10,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.35,176.3,No
9411-TPQQV,DFM,0,No,No,40,No,Countertop,ROAP,Yes,No,No,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),54.55,2236.2,No
7207-RMRDB,DFM,0,Yes,Yes,65,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,105.5,6985.65,Yes
7954-MLBUN,Common,0,No,No,31,Yes,Cabinetry,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),99.45,3109.9,No
2077-DDHJK,DFM,0,Yes,No,68,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,No,No,Fixed Price,No,Credit card (automatic),70.9,4911.35,No
4913-EHYUI,Common,1,Yes,Yes,56,Yes,Appliance,North America,Yes,No,Yes,No,Yes,Yes,AMC,Yes,Bank transfer (automatic),104.55,5794.65,Yes
0195-IESCP,Common,0,Yes,No,10,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,85.25,855.3,Yes
9574-BOSMD,Common,0,Yes,Yes,68,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),25.4,1620.2,No
4580-TMHJU,DFM,0,Yes,Yes,43,Yes,Cabinetry,ROAP,No,No,No,No,Yes,No,T&M,No,Electronic check,56.15,2499.3,Yes
0970-ETWGE,Common,0,No,No,1,Yes,Cabinetry,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,89.55,89.55,Yes
4908-XAXAY,DFM,1,No,No,49,Yes,Cabinetry,North America,No,Yes,Yes,No,No,Yes,AMC,Yes,Bank transfer (automatic),89.85,4287.2,No
8404-VLQFB,DFM,0,Yes,Yes,15,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Electronic check,25.25,394.85,No
1626-ERCMM,Common,1,Yes,No,20,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,94.55,1899.65,Yes
0887-HJGAR,Common,0,No,No,1,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,45.7,45.7,Yes
2391-IPLOP,Common,0,Yes,Yes,50,Yes,Appliance,ROAP,No,No,Yes,Yes,Yes,No,AMC,Yes,Electronic check,69.65,3442.15,No
5644-PDMZC,DFM,1,No,No,2,Yes,Appliance,North America,No,Yes,No,No,No,Yes,T&M,No,Electronic check,89.5,161.5,Yes
3509-GWQGF,Common,1,No,No,24,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Credit card (automatic),70,1732.6,No
9576-ANLXO,DFM,0,No,No,3,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),69.55,222.3,Yes
2024-BASKD,DFM,0,No,No,1,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Mailed check,74.6,74.6,Yes
5845-BZZIB,Common,0,Yes,Yes,35,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.1,655.3,No
1140-UKVZG,DFM,0,No,No,17,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,24.8,475.25,No
4160-AMJTL,DFM,1,No,No,8,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Electronic check,19.65,164.3,Yes
5183-SNMJQ,Common,0,No,No,10,Yes,Cabinetry,North America,No,No,No,Yes,Yes,Yes,T&M,Yes,Credit card (automatic),95.1,865.1,No
8100-PNJMH,Common,0,Yes,Yes,68,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),88.85,6132.7,No
7838-LAZFO,Common,0,Yes,No,45,Yes,Cabinetry,ROAP,Yes,Yes,Yes,No,Yes,Yes,AMC,No,Bank transfer (automatic),78.8,3597.5,No
4464-JCOLN,Common,0,Yes,Yes,2,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,19.85,35.9,Yes
2085-JVGAD,Common,0,Yes,No,37,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),20.35,697.65,No
5650-VDUDS,DFM,0,No,No,4,No,Countertop,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,24.25,96.05,Yes
8095-WANWK,DFM,0,No,No,10,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,45.25,428.7,No
3030-ZKIWL,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.05,20.05,No
9565-FLVCG,Common,0,Yes,Yes,65,Yes,Appliance,ROAP,Yes,Yes,No,No,No,Yes,Fixed Price,Yes,Mailed check,69.55,4459.15,No
8755-OGKNA,DFM,0,Yes,Yes,57,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),19.5,1167.6,No
2800-VEQXM,DFM,0,No,No,3,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Mailed check,74.75,238.1,No
7538-GWHML,DFM,0,No,No,2,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Electronic check,69.65,145.15,Yes
5533-RJFTJ,Common,0,No,No,49,No,Countertop,ROAP,No,No,Yes,No,No,No,T&M,Yes,Bank transfer (automatic),30.2,1453.1,No
3859-CVCET,DFM,0,No,No,4,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,45.65,191.05,Yes
0214-JHPFW,DFM,0,Yes,No,70,No,Countertop,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),57.8,4039.3,No
5642-MHDQT,DFM,0,Yes,Yes,53,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Bank transfer (automatic),19.85,1039.45,No
3088-FVYWK,Common,0,Yes,Yes,53,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.55,1336.1,No
3276-HDUEG,DFM,0,No,No,1,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,75.05,75.05,Yes
9092-GDZKO,Common,0,No,No,22,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Credit card (automatic),24.85,493.4,No
0823-HSCDJ,Common,1,No,No,52,No,Countertop,ROAP,No,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,49.15,2550.9,Yes
3729-OWRVL,Common,1,No,No,65,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,110.35,7246.15,No
2324-AALNO,DFM,0,No,No,48,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),24.55,1203.95,No
0822-GAVAP,DFM,0,No,No,2,No,Countertop,ROAP,No,No,No,No,No,Yes,T&M,Yes,Electronic check,34.7,62.25,Yes
5760-IFJOZ,Common,0,No,No,3,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,No,Mailed check,107.95,313.6,No
2826-UWHIS,Common,0,Yes,No,45,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,No,Bank transfer (automatic),81.4,3775.85,No
1448-PWKYE,Common,0,Yes,Yes,1,Yes,Cabinetry,North America,No,No,No,No,No,Yes,T&M,No,Electronic check,80,80,Yes
7501-IWUNG,DFM,0,Yes,Yes,61,Yes,Cabinetry,ROAP,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),73.8,4616.05,No
4957-TREIR,Common,0,No,No,3,Yes,Cabinetry,ROAP,Yes,No,No,Yes,Yes,No,T&M,Yes,Credit card (automatic),64.4,195.65,No
7251-LJBQN,DFM,1,No,No,40,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Credit card (automatic),103.75,4188.4,No
8040-MNRTF,DFM,0,No,No,1,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Mailed check,71.1,71.1,No
1536-HBSWP,DFM,0,No,No,1,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,T&M,Yes,Electronic check,49.9,49.9,No
5313-FPXWG,Common,0,No,No,51,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Bank transfer (automatic),24.6,1266.4,No
0067-DKWBL,Common,1,No,No,2,Yes,Cabinetry,ROAP,Yes,No,No,No,No,No,T&M,Yes,Electronic check,49.25,91.1,Yes
0946-FKYTX,Common,0,No,No,52,No,Countertop,ROAP,No,Yes,No,No,No,No,AMC,No,Mailed check,30.1,1623.4,No
5076-YVXCM,Common,0,No,No,51,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,No,Bank transfer (automatic),83.4,4149.45,No
8262-COGGB,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.45,20.45,No
6663-JOCQO,Common,0,Yes,Yes,31,Yes,Appliance,ROAP,Yes,Yes,No,Yes,No,Yes,AMC,Yes,Bank transfer (automatic),75.25,2344.5,No
9620-QJREV,Common,0,No,Yes,47,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Credit card (automatic),20.55,1013.05,No
2276-YDAVZ,DFM,0,No,No,3,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Credit card (automatic),75.1,270.7,Yes
2682-KEVRP,DFM,1,No,No,22,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Mailed check,20.05,417,No
2480-JZOSN,DFM,0,Yes,No,1,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.65,20.65,No
0078-XZMHT,Common,0,Yes,No,72,Yes,Appliance,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),85.15,6316.2,No
5896-NPFWW,Common,0,Yes,Yes,3,Yes,Cabinetry,ROAP,No,No,Yes,No,No,No,T&M,Yes,Electronic check,50.15,168.15,Yes
9978-HYCIN,Common,1,Yes,Yes,47,Yes,Cabinetry,North America,No,Yes,No,No,Yes,No,AMC,Yes,Bank transfer (automatic),84.95,4018.05,No
8338-QIUNR,Common,0,Yes,Yes,72,Yes,Appliance,ROAP,Yes,No,Yes,Yes,No,No,Fixed Price,Yes,Credit card (automatic),66.5,4811.6,No
1525-LNLOJ,Common,0,Yes,Yes,66,Yes,Appliance,ROAP,No,No,Yes,No,Yes,No,Fixed Price,Yes,Bank transfer (automatic),63.3,4189.7,No
9450-TRJUU,Common,0,No,No,35,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,No,Electronic check,83.15,2848.45,No
1766-GKNMI,Common,0,No,No,29,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,84.9,2516.2,No
6942-LBFDP,DFM,0,No,No,2,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.55,33.6,No
1456-TWCGB,Common,0,No,No,4,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,T&M,No,Mailed check,49.25,208.45,No
7133-VBDCG,DFM,0,No,No,25,Yes,Cabinetry,North America,Yes,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),79.85,2015.35,Yes
7596-ZYWBB,DFM,0,No,No,65,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,No,No,Fixed Price,Yes,Mailed check,59.6,3739.8,No
8329-UTMVM,Common,1,No,No,27,Yes,Appliance,North America,No,Yes,No,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),104.65,2964,No
3014-WJKSM,Common,0,Yes,No,29,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Credit card (automatic),75.3,2263.4,No
3347-YJZZE,Common,0,Yes,Yes,29,Yes,Appliance,ROAP,No,Yes,Yes,No,Yes,Yes,T&M,No,Credit card (automatic),80.1,2211.8,No
1029-QFBEN,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.55,19.55,Yes
7929-DMBCV,DFM,0,Yes,No,20,Yes,Cabinetry,North America,No,No,Yes,Yes,No,No,T&M,Yes,Mailed check,81,1683.7,No
9661-JALZV,DFM,0,No,No,58,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),24.7,1519,No
5433-KYGHE,DFM,0,No,Yes,14,Yes,Appliance,North America,Yes,No,No,Yes,No,No,T&M,Yes,Mailed check,86,1164.05,No
4312-KFRXN,Common,0,Yes,No,72,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,25.4,1710.9,No
5575-TPIZQ,Common,0,No,No,46,Yes,Appliance,North America,Yes,No,No,No,Yes,No,T&M,Yes,Credit card (automatic),89.15,4245.55,No
0114-IGABW,DFM,0,Yes,No,71,No,Countertop,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),58.25,4145.9,No
9944-AEXBM,Common,0,No,No,32,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Bank transfer (automatic),85.65,2664.3,No
1853-ARAAQ,DFM,0,No,No,26,No,Countertop,ROAP,No,No,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),50.35,1277.5,No
6952-OMNWB,Common,1,Yes,No,68,Yes,Appliance,North America,No,No,Yes,No,No,No,T&M,Yes,Credit card (automatic),80.35,5589.3,No
4697-LUPSU,Common,0,Yes,Yes,2,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.2,34.75,No
8434-VGEQQ,Common,0,Yes,Yes,61,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),20.55,1305.95,No
4952-YSOGZ,DFM,0,Yes,Yes,4,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,85.95,381.3,Yes
1589-AGTLK,Common,0,No,No,3,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Electronic check,45.35,141.5,Yes
5244-IRFIH,Common,1,Yes,No,33,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,94.5,3105.55,Yes
6549-YMFAW,Common,1,Yes,No,9,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,21.25,204.55,No
4950-HKQTE,DFM,0,No,No,22,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,26.25,605.9,No
6786-OBWQR,DFM,0,Yes,Yes,5,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,80.85,356.1,No
2684-EIWEO,DFM,1,No,No,30,Yes,Appliance,North America,Yes,Yes,Yes,No,No,No,T&M,No,Credit card (automatic),91.7,2758.15,Yes
2753-JMMCV,Common,0,No,No,65,Yes,Appliance,ROAP,No,Yes,Yes,Yes,No,Yes,Fixed Price,Yes,Credit card (automatic),74.2,4805.65,No
6439-GTPCA,DFM,0,No,No,45,Yes,Appliance,North America,No,No,Yes,Yes,No,No,T&M,Yes,Electronic check,87.25,3941.7,Yes
6621-YOBKI,Common,0,No,No,5,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.35,92.75,No
1216-JWVUX,Common,0,Yes,Yes,25,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,75.5,1901.05,No
7564-GHCVB,DFM,0,Yes,Yes,72,Yes,Appliance,North America,Yes,No,No,No,No,No,Fixed Price,No,Bank transfer (automatic),79.05,5730.7,No
1173-NOEYG,DFM,0,Yes,No,27,Yes,Appliance,North America,No,No,Yes,No,No,Yes,T&M,No,Bank transfer (automatic),90.15,2423.4,No
7595-EHCDL,Common,0,Yes,Yes,32,No,Countertop,ROAP,No,No,Yes,No,Yes,Yes,T&M,No,Credit card (automatic),50.6,1653.45,No
6647-ZEDXT,DFM,0,No,No,30,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,AMC,No,Credit card (automatic),110.45,3327.05,No
2521-NPUZR,Common,0,Yes,No,70,Yes,Cabinetry,North America,Yes,Yes,Yes,Yes,No,Yes,Fixed Price,No,Credit card (automatic),101,7085.5,No
1307-TVUFB,Common,1,No,No,42,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),79.35,3344.1,No
7503-MIOGA,DFM,1,Yes,No,72,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),89.85,6697.35,No
4381-MHQDC,DFM,0,No,No,47,Yes,Appliance,ROAP,Yes,No,Yes,Yes,No,No,Fixed Price,Yes,Mailed check,65,2879.9,No
6923-JHPMP,DFM,0,No,No,2,Yes,Cabinetry,North America,Yes,No,Yes,No,No,No,T&M,Yes,Electronic check,80.45,137.1,No
5138-WVKYJ,Common,0,No,No,10,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,No,Electronic check,98.55,1008.55,Yes
4018-PPNDW,DFM,0,Yes,Yes,61,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,24.1,1551.6,No
1635-FJFCC,DFM,0,No,No,5,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Credit card (automatic),44.05,202.15,No
2499-AJYUA,DFM,1,Yes,No,72,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),110.8,7882.25,No
6919-ELBGL,Common,1,Yes,Yes,72,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),114.95,8196.4,No
3966-HRMZA,DFM,1,No,No,3,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,No,Mailed check,75.05,202.9,No
6425-JWTDV,Common,0,Yes,No,48,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.25,855.1,No
8405-IGQFX,DFM,0,No,No,63,Yes,Cabinetry,North America,No,No,Yes,Yes,Yes,No,AMC,Yes,Credit card (automatic),90.05,5817,No
8224-IVVPA,DFM,0,No,No,27,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Mailed check,56.7,1652.95,No
9477-LGWQI,Common,0,Yes,Yes,70,Yes,Cabinetry,ROAP,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Credit card (automatic),80.15,5600.15,No
1410-RSCMR,Common,0,Yes,Yes,7,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,No,Yes,T&M,Yes,Credit card (automatic),71.35,515.75,No
3115-CZMZD,Common,0,No,Yes,0,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.25, ,No
0139-IVFJG,DFM,0,Yes,No,2,Yes,Cabinetry,North America,Yes,Yes,No,No,Yes,No,T&M,No,Electronic check,90.35,190.5,No
6683-VLCTZ,Common,1,No,No,20,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,98.55,1842.8,Yes
5730-DBDSI,Common,0,No,No,66,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),19.7,1253.8,No
0030-FNXPP,DFM,0,No,No,3,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.85,57.2,No
2189-WWOEW,DFM,0,No,Yes,15,Yes,Cabinetry,North America,No,Yes,No,No,No,Yes,T&M,Yes,Bank transfer (automatic),85.9,1269.55,Yes
5684-FJVYR,DFM,0,Yes,Yes,72,Yes,Appliance,North America,Yes,Yes,No,Yes,No,No,Fixed Price,Yes,Bank transfer (automatic),90.35,6563.4,No
4013-GUXND,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.8,20.8,No
1894-IGFSG,DFM,0,No,No,22,Yes,Cabinetry,North America,No,No,No,No,Yes,Yes,T&M,No,Electronic check,89.25,1907.85,Yes
7379-POKDZ,Common,0,Yes,No,3,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,70.3,208.85,Yes
