,Database,Dealer,Cloud Partner,Training Provided,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn,tenure_group
374,Common,0,No,No,Yes,Cabinetry,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Credit card (automatic),96.1,3646.8,0,37 - 48
375,DFM,0,No,No,Yes,Appliance,ROAP,No,Yes,Yes,Yes,Yes,Yes,AMC,No,Credit card (automatic),85.1,3662.25,0,37 - 48
376,Common,0,No,No,No,Countertop,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,25.35,25.35,0,1 - 12
377,DFM,0,Yes,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),104.95,2566.5,1,25 - 36
378,DFM,0,No,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,89.65,5308.7,0,61 - 72
379,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,No,No,AMC,No,Electronic check,86.75,1410.25,0,13 - 24
380,DFM,0,Yes,No,Yes,Cabinetry,North America,No,Yes,Yes,Yes,No,No,AMC,Yes,Bank transfer (automatic),86.2,3339.05,0,37 - 48
381,Common,0,No,No,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,T&M,No,Mailed check,50.65,50.65,1,1 - 12
382,Common,1,Yes,Yes,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),64.8,4732.35,0,61 - 72
383,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,No,Yes,T&M,Yes,Credit card (automatic),90.85,90.85,1,1 - 12
384,Common,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),108.1,5067.45,0,37 - 48
385,Common,1,Yes,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.95,214.75,1,1 - 12
386,DFM,1,Yes,No,Yes,Appliance,North America,No,Yes,Yes,No,No,No,T&M,Yes,Electronic check,85.45,4874.7,1,49 - 60
387,DFM,0,No,No,No,Countertop,ROAP,Yes,Yes,Yes,Yes,No,Yes,AMC,Yes,Electronic check,54.75,2348.45,0,37 - 48
388,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,No,No,Yes,T&M,Yes,Mailed check,90.4,4063.0,0,37 - 48
389,Common,0,No,Yes,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Electronic check,44.0,44.0,0,1 - 12
390,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),95.6,2595.25,0,25 - 36
391,Common,1,Yes,No,Yes,Appliance,ROAP,No,Yes,Yes,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),84.8,2309.55,0,25 - 36
392,DFM,1,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Electronic check,44.3,89.3,0,1 - 12
393,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.9,367.55,0,13 - 24
394,DFM,1,Yes,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,95.05,3944.5,0,37 - 48
395,DFM,0,No,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),90.05,5965.95,0,61 - 72
396,Common,1,Yes,No,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),109.9,3694.7,0,25 - 36
397,DFM,0,No,No,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Credit card (automatic),73.95,2524.45,1,25 - 36
398,Common,1,No,No,No,Countertop,ROAP,No,No,Yes,Yes,Yes,Yes,T&M,Yes,Electronic check,54.6,1803.7,0,25 - 36
399,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.05,415.1,0,13 - 24
400,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),19.75,624.15,0,25 - 36
401,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Credit card (automatic),20.05,237.7,0,1 - 12
402,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),99.45,7007.6,1,61 - 72
403,DFM,0,Yes,No,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,No,AMC,No,Bank transfer (automatic),55.9,3848.8,0,61 - 72
404,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,19.7,419.4,0,13 - 24
405,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),19.8,1468.75,0,61 - 72
406,Common,0,Yes,Yes,Yes,Appliance,North America,Yes,No,Yes,No,Yes,No,AMC,Yes,Bank transfer (automatic),95.4,5812.0,0,49 - 60
407,Common,1,Yes,Yes,Yes,Cabinetry,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Mailed check,93.95,2861.45,0,25 - 36
408,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.9,19.9,1,1 - 12
409,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.6,19.6,1,1 - 12
410,Common,1,No,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,81.35,233.7,1,1 - 12
411,DFM,0,Yes,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,Yes,Bank transfer (automatic),24.45,1066.15,0,37 - 48
412,DFM,0,Yes,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.95,2149.05,0,25 - 36
413,Common,0,No,No,Yes,Appliance,North America,No,Yes,Yes,Yes,No,No,T&M,Yes,Electronic check,87.35,4473.0,0,49 - 60
414,DFM,1,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),70.65,3545.05,0,37 - 48
415,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,No,Bank transfer (automatic),73.25,1195.75,0,13 - 24
416,Common,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,Yes,No,Yes,Fixed Price,Yes,Bank transfer (automatic),98.7,6858.9,0,61 - 72
417,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,24.8,1024.7,0,37 - 48
418,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,No,No,No,Yes,T&M,No,Electronic check,83.3,1845.9,1,13 - 24
419,DFM,1,No,No,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,Yes,Bank transfer (automatic),75.3,75.3,1,1 - 12
420,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,24.3,132.25,0,1 - 12
421,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),69.85,515.45,0,1 - 12
422,Common,0,No,Yes,Yes,Appliance,North America,No,Yes,Yes,Yes,No,Yes,AMC,No,Credit card (automatic),100.55,2830.45,0,25 - 36
423,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,25.7,1110.5,0,37 - 48
424,DFM,0,No,No,No,Countertop,ROAP,Yes,Yes,Yes,No,No,No,T&M,No,Bank transfer (automatic),40.7,449.3,0,1 - 12
425,DFM,1,Yes,No,Yes,Appliance,ROAP,No,No,No,No,No,No,T&M,No,Bank transfer (automatic),51.65,2838.55,0,49 - 60
426,Common,1,Yes,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,AMC,Yes,Bank transfer (automatic),105.1,5376.4,0,49 - 60
427,DFM,0,Yes,Yes,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,No,Electronic check,85.95,858.6,0,1 - 12
428,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),75.6,1395.05,0,13 - 24
429,DFM,0,Yes,No,Yes,Appliance,ROAP,Yes,No,No,Yes,No,No,AMC,No,Bank transfer (automatic),58.25,3975.7,0,61 - 72
430,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.4,1182.55,1,61 - 72
431,DFM,0,Yes,Yes,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),65.2,4784.45,0,61 - 72
432,Common,0,No,No,Yes,Cabinetry,ROAP,Yes,No,Yes,No,No,No,T&M,No,Electronic check,53.45,119.5,0,1 - 12
433,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),45.4,518.9,1,1 - 12
434,Common,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Electronic check,19.75,899.45,0,37 - 48
435,DFM,0,No,No,No,Countertop,ROAP,No,No,Yes,Yes,Yes,No,T&M,Yes,Credit card (automatic),44.45,1183.8,0,25 - 36
436,Common,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),20.85,720.05,0,25 - 36
437,Common,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),114.05,8468.2,0,61 - 72
438,Common,0,Yes,No,Yes,Appliance,North America,No,No,No,Yes,No,Yes,T&M,Yes,Bank transfer (automatic),89.85,3161.2,0,25 - 36
439,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,No,T&M,No,Mailed check,55.05,55.05,0,1 - 12
440,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,T&M,Yes,Electronic check,112.95,1882.55,0,13 - 24
441,DFM,1,No,No,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,No,Credit card (automatic),101.55,5070.4,0,49 - 60
442,DFM,0,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,AMC,Yes,Mailed check,114.65,6049.5,0,49 - 60
443,DFM,0,No,Yes,Yes,Appliance,ROAP,Yes,No,No,No,No,Yes,T&M,No,Electronic check,64.8,1166.7,0,13 - 24
444,DFM,0,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,Yes,T&M,No,Electronic check,80.4,2937.65,0,25 - 36
445,DFM,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,105.9,6396.45,1,49 - 60
446,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Mailed check,69.55,69.55,1,1 - 12
447,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),25.05,1270.25,0,49 - 60
448,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,94.75,759.55,0,1 - 12
449,Common,0,Yes,Yes,Yes,Cabinetry,North America,Yes,Yes,No,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),105.5,7611.55,0,61 - 72
450,DFM,0,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,24.7,1642.75,0,61 - 72
451,DFM,1,No,No,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,No,Yes,T&M,Yes,Mailed check,69.75,1545.4,0,13 - 24
452,Common,0,Yes,No,No,Countertop,ROAP,No,Yes,Yes,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),60.2,3582.4,0,49 - 60
453,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,81.05,2227.1,1,25 - 36
454,DFM,0,Yes,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,24.4,1417.9,0,61 - 72
455,DFM,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,104.15,2494.65,0,13 - 24
456,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,Yes,Yes,Yes,No,AMC,No,Bank transfer (automatic),92.9,2768.35,0,25 - 36
457,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),80.8,2369.3,0,25 - 36
458,Common,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.0,38.0,0,1 - 12
459,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,75.1,75.1,0,1 - 12
460,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.65,100.9,0,1 - 12
461,DFM,0,Yes,No,Yes,Cabinetry,ROAP,No,Yes,No,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),69.45,1614.05,0,13 - 24
462,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,No,Electronic check,101.15,385.9,1,1 - 12
463,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,99.8,673.25,1,1 - 12
464,Common,1,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),116.05,8404.9,0,61 - 72
465,Common,0,No,No,No,Countertop,ROAP,No,No,No,Yes,No,Yes,Fixed Price,Yes,Mailed check,40.05,2799.75,0,61 - 72
466,Common,1,Yes,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,102.1,6538.45,0,61 - 72
467,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,No,No,Yes,No,AMC,Yes,Electronic check,89.7,6588.95,0,61 - 72
468,DFM,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.9,868.1,0,37 - 48
469,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,No,No,No,No,Yes,T&M,No,Electronic check,55.95,734.35,1,13 - 24
470,DFM,1,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.65,330.6,0,13 - 24
471,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,Yes,T&M,Yes,Electronic check,55.0,55.0,1,1 - 12
472,Common,0,Yes,No,Yes,Cabinetry,ROAP,No,No,Yes,No,Yes,Yes,T&M,Yes,Mailed check,70.05,564.4,0,1 - 12
473,Common,0,Yes,No,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,No,T&M,No,Mailed check,53.6,1315.35,0,13 - 24
474,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,74.7,74.7,1,1 - 12
475,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,80.25,1861.5,1,13 - 24
476,Common,1,Yes,Yes,Yes,Cabinetry,ROAP,No,Yes,No,Yes,Yes,Yes,T&M,Yes,Electronic check,76.05,2747.2,0,25 - 36
477,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,No,T&M,Yes,Electronic check,75.7,554.05,0,1 - 12
478,Common,0,No,No,Yes,Cabinetry,North America,No,No,No,Yes,Yes,Yes,T&M,Yes,Electronic check,96.1,453.4,1,1 - 12
479,DFM,0,No,Yes,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Bank transfer (automatic),69.0,994.8,1,13 - 24
480,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.65,225.75,0,1 - 12
481,DFM,0,Yes,No,No,Countertop,ROAP,Yes,No,Yes,No,No,Yes,T&M,Yes,Bank transfer (automatic),45.3,2145.0,1,37 - 48
482,DFM,1,No,No,Yes,Cabinetry,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,81.45,1671.6,0,13 - 24
483,DFM,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),108.5,8003.8,0,61 - 72
484,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,No,No,Yes,No,T&M,Yes,Electronic check,83.55,680.05,1,1 - 12
485,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,No,No,No,Yes,Fixed Price,Yes,Credit card (automatic),84.5,6130.85,0,61 - 72
486,DFM,0,No,No,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,100.15,1415.0,0,13 - 24
487,Common,0,No,No,Yes,Appliance,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),88.6,6201.95,0,61 - 72
488,DFM,0,Yes,Yes,No,Countertop,ROAP,Yes,No,Yes,Yes,Yes,No,Fixed Price,Yes,Bank transfer (automatic),52.55,,0,
489,Common,0,No,Yes,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.35,74.35,1,1 - 12
490,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),104.8,6597.25,0,61 - 72
491,DFM,0,No,No,Yes,Cabinetry,ROAP,No,Yes,No,No,Yes,No,T&M,Yes,Electronic check,59.0,114.15,0,1 - 12
492,DFM,0,Yes,No,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,Yes,Electronic check,74.4,139.4,1,1 - 12
493,Common,1,Yes,No,Yes,Appliance,ROAP,No,Yes,No,No,No,Yes,AMC,No,Bank transfer (automatic),64.05,3902.6,0,61 - 72
494,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.4,20.4,0,1 - 12
495,Common,0,No,No,No,Countertop,ROAP,No,Yes,Yes,No,No,Yes,AMC,Yes,Bank transfer (automatic),43.75,903.6,1,13 - 24
496,Common,0,Yes,No,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,No,No,T&M,No,Mailed check,60.9,1785.65,0,25 - 36
497,DFM,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),19.8,1397.65,0,61 - 72
498,DFM,1,No,No,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,No,Electronic check,28.45,131.05,1,1 - 12
499,DFM,0,No,No,Yes,Appliance,North America,Yes,Yes,Yes,No,No,Yes,T&M,Yes,Bank transfer (automatic),99.7,1238.45,1,1 - 12
500,Common,0,No,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,AMC,No,Credit card (automatic),116.25,3899.05,0,25 - 36
501,DFM,1,Yes,No,Yes,Appliance,North America,Yes,No,No,No,No,No,Fixed Price,Yes,Credit card (automatic),80.7,5676.0,0,61 - 72
502,DFM,0,Yes,Yes,Yes,Appliance,ROAP,Yes,No,No,No,No,Yes,AMC,No,Bank transfer (automatic),65.2,4543.15,0,61 - 72
503,DFM,0,Yes,Yes,Yes,Cabinetry,North America,Yes,No,Yes,Yes,No,No,T&M,Yes,Bank transfer (automatic),84.05,4326.8,0,49 - 60
504,Common,0,No,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,No,Fixed Price,Yes,Credit card (automatic),79.45,5502.55,0,61 - 72
505,DFM,1,No,No,Yes,Appliance,North America,No,Yes,Yes,No,No,Yes,T&M,Yes,Electronic check,94.1,1782.4,1,13 - 24
506,Common,0,No,Yes,Yes,Appliance,North America,No,No,Yes,No,No,No,T&M,Yes,Mailed check,78.0,851.8,0,1 - 12
507,Common,0,Yes,No,Yes,Cabinetry,North America,No,No,No,Yes,Yes,Yes,T&M,Yes,Electronic check,94.2,167.5,1,1 - 12
508,DFM,0,Yes,Yes,Yes,Appliance,North America,No,No,No,Yes,No,No,T&M,Yes,Electronic check,80.5,502.85,1,1 - 12
509,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.85,19.85,0,1 - 12
510,Common,1,Yes,Yes,Yes,Cabinetry,North America,Yes,No,Yes,Yes,No,Yes,AMC,No,Credit card (automatic),94.3,1818.3,0,13 - 24
511,Common,0,No,No,Yes,Appliance,North America,Yes,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,106.45,6300.15,0,61 - 72
512,DFM,1,Yes,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.35,334.8,1,1 - 12
513,DFM,0,No,No,Yes,Appliance,North America,No,Yes,No,Yes,Yes,Yes,T&M,Yes,Bank transfer (automatic),105.45,5916.95,0,49 - 60
514,Common,0,No,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,No,No,T&M,Yes,Credit card (automatic),95.0,2852.4,0,25 - 36
515,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,T&M,No,Bank transfer (automatic),104.8,4131.95,1,37 - 48
516,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,No,AMC,No,Mailed check,54.3,1546.3,0,25 - 36
517,DFM,1,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Electronic check,70.05,302.6,0,1 - 12
518,DFM,1,Yes,No,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),75.2,1929.35,1,25 - 36
519,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Credit card (automatic),20.05,265.45,0,1 - 12
520,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,AMC,Yes,Electronic check,105.4,6989.45,0,61 - 72
521,Common,1,Yes,No,Yes,Appliance,ROAP,No,No,No,No,No,No,T&M,Yes,Electronic check,51.6,1442.0,0,25 - 36
522,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,No,Bank transfer (automatic),85.5,4713.4,0,49 - 60
523,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,No,Bank transfer (automatic),75.6,1758.6,1,13 - 24
524,Common,0,Yes,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,100.05,3480.0,1,25 - 36
525,Common,0,No,No,Yes,Cabinetry,North America,Yes,No,Yes,No,Yes,No,AMC,No,Electronic check,91.25,4738.3,0,49 - 60
526,Common,1,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),115.75,8399.15,0,61 - 72
527,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,No,Yes,Yes,No,AMC,Yes,Credit card (automatic),94.7,5430.35,0,49 - 60
528,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.6,686.95,0,25 - 36
529,DFM,1,No,No,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,No,Fixed Price,Yes,Bank transfer (automatic),99.9,5706.3,0,49 - 60
530,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),21.1,490.65,0,13 - 24
531,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),20.05,1360.25,0,61 - 72
532,Common,0,No,No,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,79.95,174.45,0,1 - 12
533,Common,1,Yes,Yes,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Credit card (automatic),107.15,7379.8,0,61 - 72
534,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,85.0,85.0,1,1 - 12
535,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,No,Yes,No,T&M,Yes,Electronic check,89.55,1021.75,0,1 - 12
536,DFM,0,Yes,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),81.55,5029.05,0,61 - 72
537,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,No,No,No,AMC,Yes,Mailed check,58.45,1955.4,0,25 - 36
538,DFM,0,Yes,No,Yes,Cabinetry,North America,No,Yes,No,No,Yes,Yes,AMC,Yes,Credit card (automatic),95.65,6744.2,0,61 - 72
539,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),80.6,4946.7,0,49 - 60
540,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),113.1,8248.5,0,61 - 72
541,DFM,0,No,No,Yes,Appliance,ROAP,No,No,No,No,No,Yes,T&M,Yes,Mailed check,58.95,601.6,0,1 - 12
542,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.55,19.55,0,1 - 12
543,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Bank transfer (automatic),86.05,834.1,1,1 - 12
544,Common,0,No,No,No,Countertop,ROAP,Yes,No,No,Yes,Yes,No,T&M,Yes,Credit card (automatic),45.55,597.0,1,13 - 24
545,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,No,No,No,No,Yes,AMC,Yes,Bank transfer (automatic),78.95,2647.2,0,25 - 36
546,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,No,No,Yes,No,T&M,Yes,Mailed check,86.3,3266.0,1,37 - 48
547,DFM,0,No,No,Yes,Appliance,North America,No,Yes,No,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),105.05,6744.25,0,61 - 72
548,Common,1,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,No,AMC,Yes,Bank transfer (automatic),101.9,5265.5,0,49 - 60
549,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.75,311.6,0,13 - 24
550,Common,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),110.3,7966.9,0,61 - 72
